Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
D,11,White,5.5,5.5,ARS,30,0.95,30,1.33,30,0.77,30,1.16,30,0.93,30,0.84,30,1.2,30,0.95,30,1.01,30,1.22,30,1.35,30,1.13,30,0.82,30,1.04,30,0.91,30,1.18,30,1.05,30,1.03,30,1.06
D,12,Zinchenko,5.0,5.0,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,13,Clarke,4.0,4.0,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,14,Kacurri,4.0,4.0,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,15,Nichols,4.0,4.0,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,16,Saka,10.0,10.0,ARS,90,5.39,90,7.82,90,5.08,90,6.41,90,5.42,90,5.22,90,6.47,90,5.17,90,5.95,90,5.82,90,7.77,90,6.79,90,5.02,90,6.39,90,5.26,90,6.31,90,5.21,90,6.06,90,5.94
M,17,Ødegaard,8.0,8.0,ARS,90,4.08,90,5.53,90,3.92,90,4.7,90,4.09,90,3.97,90,4.74,90,3.96,90,4.41,90,4.39,90,5.51,90,4.91,90,3.85,90,4.66,90,4.0,90,4.65,90,4.01,90,4.48,90,4.41
M,18,Madueke,7.0,7.0,ARS,30,1.3,30,1.9,30,1.23,30,1.55,30,1.3,30,1.26,30,1.57,30,1.24,30,1.44,30,1.42,30,1.89,30,1.64,30,1.2,30,1.54,30,1.26,30,1.53,30,1.26,30,1.46,30,1.44
M,19,Martinelli,7.0,7.0,ARS,60,2.83,60,4.1,60,2.65,60,3.38,60,2.85,60,2.73,60,3.41,60,2.72,60,3.13,60,3.08,60,4.07,60,3.55,60,2.63,60,3.34,60,2.76,60,3.33,60,2.75,60,3.18,60,3.13
M,20,Trossard,7.0,7.0,ARS,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
