id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
446,Tyler,Fredricson,Fredricson,14,2,4.0,2,0.00,0.02,0.02,2.94,166,0,0,0,5,0,0,0,0,0,0,0,16,37.4,4.9,2.0,4.4,2,0.0,0.0,0.01,0.01,1.59,2.71,628,93,346,375,1.08,0.0
447,Ayden,Heaven,Heaven,14,2,4.0,10,0.12,0.01,0.13,1.69,169,0,0,1,1,0,0,0,1,0,0,2,47,43.4,12.9,8.0,6.4,2,0.06,0.0,0.01,0.07,0.9,0.53,651,116,178,100,1.07,0.53
448,Tyrell,Malacia,Malacia,14,2,4.0,2,0.00,0.02,0.02,0.78,99,0,0,0,1,0,0,0,1,0,0,0,2,5.2,13.9,0.0,1.7,2,0.0,0.0,0.02,0.02,0.71,0.91,565,30,388,260,1.82,0.0
449,Bruno,Borges Fernandes,B.Fernandes,14,3,9.0,174,9.93,7.89,17.82,45.85,3017,8,12,10,47,0,0,0,3,2,0,28,810,1017.8,1407.7,587.0,300.8,35,0.3,0.0,0.24,0.54,1.37,1.4,6,652,14,42,1.04,0.3
450,Matheus,Santos Carneiro da Cunha,Cunha,14,3,8.0,178,8.73,5.29,14.02,44.53,2596,15,7,7,54,0,0,0,4,0,0,41,838,936.2,847.8,940.0,272.2,29,0.3,0.0,0.18,0.48,1.54,1.87,15,647,8,24,1.01,0.24
451,Marcus,Rashford,Rashford,14,3,7.0,95,4.67,3.43,8.10,21.68,1414,6,4,7,15,0,0,0,2,0,0,9,333,398.4,451.1,369.0,122.1,16,0.3,0.0,0.22,0.52,1.38,0.95,29,621,62,101,1.02,0.45
452,Amad,Diallo,Amad,14,3,6.5,129,4.71,3.98,8.69,31.71,1898,8,8,7,30,0,0,0,5,0,0,17,569,634.0,687.2,615.0,193.8,20,0.22,0.0,0.19,0.41,1.5,1.42,70,614,12,81,0.95,0.33
453,Alejandro,Garnacho Ferreyra,Garnacho,14,3,6.5,106,7.40,2.76,10.16,35.43,2188,6,4,5,36,0,0,0,3,0,0,7,370,454.0,532.2,904.0,188.3,23,0.3,0.0,0.11,0.41,1.46,1.48,69,613,148,583,0.95,0.21
454,Antony,dos Santos,Antony,14,3,6.0,8,0.60,0.21,0.81,2.05,135,0,0,0,2,0,0,0,0,0,0,0,37,35.0,50.7,74.0,15.8,0,0.4,0.0,0.14,0.54,1.37,1.33,102,577,377,524,0.0,0.0
455,Mason,Mount,Mount,14,3,6.0,25,3.37,0.57,3.94,8.24,613,1,0,3,11,0,0,0,3,0,0,0,74,104.0,140.0,218.0,45.6,8,0.49,0.0,0.08,0.57,1.21,1.62,84,559,307,514,1.17,0.44
456,Jadon,Sancho,Sancho,14,3,6.0,86,2.13,3.10,5.23,23.66,1754,3,5,7,24,0,0,0,2,0,0,3,367,340.0,523.2,414.0,127.5,19,0.11,0.0,0.16,0.27,1.21,1.23,88,563,163,579,0.97,0.36
457,Carlos Henrique,Casimiro,Casemiro,14,3,5.5,48,1.80,1.99,3.79,24.00,1489,1,0,6,20,0,0,0,5,0,0,3,300,433.2,348.2,265.0,104.8,18,0.11,0.0,0.12,0.23,1.45,1.21,111,457,250,531,1.09,0.36
458,Kobbie,Mainoo,Mainoo,14,3,5.0,42,0.84,1.78,2.62,25.23,1646,0,0,5,27,0,0,0,5,0,0,0,229,196.6,250.8,137.0,58.8,19,0.05,0.0,0.1,0.15,1.38,1.48,321,436,285,218,1.04,0.27
459,Manuel,Ugarte Ribeiro,Ugarte,14,3,5.0,49,1.00,0.67,1.67,29.54,1777,1,2,4,33,1,0,0,11,0,0,1,318,313.6,195.9,113.0,62.1,22,0.05,0.0,0.03,0.08,1.5,1.67,267,382,284,417,1.11,0.2
460,Toby,Collyer,Collyer,14,3,4.5,6,0.08,0.37,0.45,3.09,174,0,0,0,2,0,0,0,0,0,0,0,40,40.4,29.9,8.0,7.9,0,0.04,0.0,0.19,0.23,1.6,1.03,448,231,353,438,0.0,0.0
461,Jayce,Fitzgerald,Fitzgerald,14,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,496,279,561,641,0,0
462,Jack,Fletcher,J.Fletcher,14,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,485,268,553,639,0,0
463,Sékou,Koné,Kone,14,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,532,315,587,589,0,0
464,Jack,Moorhouse,Moorhouse,14,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,497,280,562,634,0,0
465,Rasmus,Højlund,Højlund,14,4,6.5,78,5.10,1.14,6.24,30.44,1998,4,1,6,31,0,0,0,2,0,0,8,246,187.0,254.7,432.0,86.3,23,0.23,0.0,0.05,0.28,1.37,1.4,71,615,202,201,1.04,0.27
466,Joshua,Zirkzee,Zirkzee,14,4,6.0,64,4.64,1.04,5.68,24.84,1385,3,2,3,24,0,0,0,2,0,0,6,216,222.6,212.0,351.0,78.0,14,0.3,0.0,0.07,0.37,1.61,1.56,98,573,252,149,0.91,0.19
467,Chido,Obi,Obi,14,4,4.5,7,0.66,0.03,0.69,3.70,160,0,0,0,5,0,0,0,1,0,0,0,21,8.2,5.1,46.0,5.4,1,0.37,0.0,0.02,0.39,2.08,2.81,521,304,364,65,0.56,0.0
468,Ethan,Wheatley,Wheatley,14,4,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,507,290,570,365,0,0
469,Nick,Pope,Pope,15,1,5.0,102,0.00,0.00,0.00,34.94,2520,0,0,8,35,0,1,0,2,0,88,2,384,666.0,10.0,0.0,67.4,28,0.0,3.14,0.0,0.0,1.25,1.25,213,328,73,92,1.0,0.29
