id,first_name,second_name,web_name,team,position,cost,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,form_rank,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90
452,Joe,Aribo,Aribo,17,3,5.0,6,0.53,0.49,1.02,5.10,225,0,0,0,5,0,0,0,0,0,0,0,37,26.2,50.3,26.0,10.3,3,0.21,0.0,0.2,0.41,2.04,2.0,203,208,183,500,1.2,0.0
453,Adam,Armstrong,Armstrong,17,4,5.4,4,0.78,0.14,0.92,3.36,205,0,0,0,3,0,0,0,1,0,0,0,6,10.0,16.7,54.0,8.0,3,0.34,0.0,0.06,0.4,1.48,1.32,143,301,254,192,1.32,0.0
454,Gavin,Bazunu,Bazunu,17,1,4.4,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,553,487,502,393,0,0
455,Jan,Bednarek,Bednarek,17,2,4.0,5,0.00,0.06,0.06,8.15,350,0,0,0,8,0,0,0,1,0,0,0,31,94.2,29.6,4.0,12.7,4,0.0,0.0,0.02,0.02,2.1,2.06,592,223,259,101,1.03,0.0
456,Armel,Bella-Kotchap,Bella-Kotchap,17,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,632,429,448,309,0,0
457,James,Bree,Bree,17,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,595,400,420,392,0,0
458,Shea,Charles,Charles,17,3,4.5,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,433,527,539,511,0,0
459,Samuel,Edozie,Edozie,17,3,4.9,1,0.00,0.15,0.15,0.31,64,0,0,0,0,0,0,0,1,0,0,0,6,9.8,19.0,22.0,5.1,0,0.0,0.0,0.21,0.21,0.44,0.0,324,357,398,592,0.0,0.0
460,Ronnie,Edwards,Edwards,17,2,4.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,638,435,454,382,0,0
461,Taylor,Harwood-Bellis,Harwood-Bellis,17,2,4.0,4,0.00,0.07,0.07,4.49,229,0,0,0,4,0,0,0,2,0,0,0,9,49.6,33.6,6.0,9.0,3,0.0,0.0,0.03,0.03,1.76,1.57,614,225,278,41,1.18,0.0
